,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu00224,0,0,0,0,0,0,0,0,0,0,0,239,30,303,0,0,0,0,2,0,0,0,0
Otu00225,7,20,8,28,0,3,8,84,80,80,0,0,1,4,0,0,0,15,2,2,54,0,0
Otu00226,13,68,32,20,4,25,36,40,43,61,5,0,0,0,0,0,0,0,0,3,2,0,0
Otu00227,0,0,0,0,0,0,0,0,0,0,0,229,0,313,0,0,0,0,0,0,0,0,0
Otu00228,27,26,65,16,278,16,0,0,0,0,0,7,60,32,0,0,0,8,0,2,0,0,0
Otu00229,34,11,5,6,28,6,5,30,27,126,5,4,0,0,0,0,0,0,0,0,18,0,0
Otu00230,0,0,0,0,0,0,0,1,3,0,1,11,0,0,0,0,0,0,40,0,481,0,0
Otu00231,0,0,0,0,0,0,0,0,0,0,3,284,0,241,0,0,0,0,8,0,0,0,0
Otu00232,17,22,7,48,304,24,3,5,3,4,0,0,28,9,0,0,0,0,5,3,10,0,0
Otu00233,0,1,0,0,0,0,0,0,0,0,17,28,9,7,0,0,0,61,15,393,0,0,0
Otu00234,0,23,9,0,0,0,0,0,5,447,36,0,0,0,0,0,0,0,0,2,0,0,0
Otu00235,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7,0,0,0,23,0,42,0
Otu00236,0,0,0,0,0,0,0,0,0,0,0,0,0,4,257,232,25,0,0,0,0,0,0
Otu00237,0,0,0,0,0,0,0,0,0,0,25,61,0,8,0,0,0,296,26,34,23,0,14
Otu00238,0,4,3,2,487,0,2,1,2,10,0,1,0,0,0,0,0,0,0,0,0,0,0
Otu00239,4,12,22,18,13,2,32,24,31,74,4,0,0,0,0,0,0,0,0,0,1,0,0
Otu00240,0,3,0,0,0,0,0,0,0,0,55,1,5,4,0,0,0,0,0,422,4,0,0
Otu00241,0,0,0,0,0,0,0,0,0,0,1,209,0,281,0,0,0,0,3,0,0,0,0
Otu00242,10,8,316,2,0,0,5,12,33,0,0,0,0,0,0,0,1,0,0,0,2,0,0
Otu00243,214,11,69,8,0,181,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0
Otu00244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,7,19,0,0,3,0,8
Otu00245,0,0,6,1,18,0,0,2,0,0,2,16,105,8,0,0,162,1,42,3,66,50,0
Otu00246,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,467,0
Otu00247,0,0,0,0,0,0,0,0,0,0,27,87,22,0,0,0,0,0,311,1,31,0,0
Otu00248,0,0,0,0,0,0,0,0,0,0,0,0,0,473,2,1,2,0,0,0,0,0,0
Otu00249,0,0,0,0,0,0,0,1,1,0,11,31,0,0,0,0,0,0,104,49,273,0,0
Otu00250,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,460,0,0,0,0
Otu00251,0,0,0,0,0,0,0,0,0,0,13,18,0,6,0,0,0,0,239,10,167,0,3
Otu00252,0,0,1,0,0,0,0,0,0,0,55,142,0,3,0,27,0,145,56,26,0,0,0
