,EMf3, ECf11, EMf1, EMf7, MVf12, EMf2, ECf9, bkEC, bkEM, bkMV, EMw3, EMw6, ECw11, EMw1, EMw4, EMw7, EMw8, MVw12, EMw2, EMw5, ECw9, ECw10, MVw13
Otu000201,1,14,0,3,0,0,7,0,0,0,1,0,1,75,56,124,281,0,0,1,7,23,0
Otu000202,0,0,0,0,0,0,1,0,0,0,1,9,3,0,0,3,0,0,0,5,1,0,0
Otu000203,0,0,0,0,4,0,0,0,0,0,3,402,58,99,0,0,0,0,12,2,5,0,0
Otu000204,1,2,1,0,0,0,0,0,0,0,0,0,18,4,2,1,2,0,4,0,42,302,199
Otu000205,112,20,65,126,0,201,35,3,0,0,0,0,5,8,0,0,0,0,0,0,0,0,0
Otu000206,0,0,0,0,0,0,0,0,0,0,0,10,0,551,6,0,0,1,0,0,0,0,0
Otu000207,0,3,0,3,0,6,0,0,0,0,0,0,4,30,15,45,86,3,7,1,6,173,185
Otu000208,0,17,26,19,15,0,13,0,0,0,8,56,29,129,24,25,83,4,17,18,28,45,1
Otu000209,0,0,0,0,0,0,0,0,0,0,0,51,1,3,0,0,0,1,455,14,13,0,0
Otu000210,0,0,0,0,0,0,0,1,0,0,20,121,1,23,0,0,0,0,151,195,25,0,0
Otu000211,0,1,2,7,0,0,2,0,0,0,0,0,0,5,26,38,92,364,0,0,0,0,0
Otu000212,0,0,0,0,1,0,0,0,0,13,126,109,3,18,0,1,0,0,0,255,6,0,3
Otu000213,0,1,0,0,0,0,3,0,0,0,0,0,12,28,11,59,359,0,0,0,4,52,2
Otu000214,0,2,0,0,0,0,0,0,0,0,0,0,2,98,69,124,175,0,0,0,1,60,0
Otu000215,0,0,0,0,0,0,1,0,0,0,111,31,21,44,0,0,0,0,216,80,23,2,0
Otu000216,0,0,0,0,0,0,0,0,0,0,28,332,6,48,0,0,0,0,66,47,0,0,0
Otu000217,0,2,0,2,0,1,1,0,0,0,0,0,1,61,164,59,137,5,0,0,57,20,15
Otu000218,0,0,0,0,0,0,0,0,0,0,10,360,40,87,0,0,0,0,9,11,6,0,0
Otu000219,0,1,1,9,0,0,8,0,0,0,0,0,0,30,24,70,274,99,0,0,2,2,0
Otu000220,0,0,0,0,0,0,0,0,0,0,124,206,2,165,0,0,0,0,3,14,1,0,0
Otu000221,0,0,0,0,0,0,0,0,0,0,14,322,17,41,0,0,0,1,73,38,6,0,0
Otu000222,0,6,0,1,0,0,1,0,0,0,66,33,29,32,0,0,0,1,169,132,39,0,0
Otu000223,0,2,0,9,0,1,7,0,1,0,0,0,0,78,137,110,9,152,0,0,2,0,0
Otu000224,0,28,11,50,0,0,5,0,0,0,0,33,105,41,7,10,52,6,39,13,85,19,2
Otu000225,0,0,0,0,0,0,0,0,0,0,6,112,5,10,0,0,0,0,326,24,17,1,0
Otu000226,157,18,54,86,0,129,33,9,9,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu000227,0,0,0,0,0,0,0,0,0,0,224,86,27,97,0,0,0,0,0,1,43,0,16
Otu000228,0,2,0,0,1,0,0,0,0,0,23,125,5,65,0,0,0,3,119,47,76,0,0
Otu000229,0,0,0,0,1,0,0,0,0,0,3,292,84,87,0,0,0,0,15,0,7,0,0
Otu000230,0,1,0,0,1,0,0,0,0,0,236,135,3,40,1,0,0,1,30,41,0,0,0
Otu000231,0,0,0,1,0,2,0,13,0,0,14,116,0,211,0,0,6,21,0,10,0,0,0
Otu000232,0,5,0,0,0,0,1,0,0,0,1,59,0,356,0,0,0,0,0,0,0,0,10
Otu000233,0,1,0,0,1,0,0,0,0,0,0,0,15,0,0,0,0,1,26,9,433,0,0
Otu000234,0,0,0,0,1,0,0,0,0,0,2,60,0,5,0,0,0,0,413,4,0,0,0
Otu000235,0,6,1,5,0,0,12,0,0,0,0,1,1,47,19,226,161,2,0,0,1,1,0
Otu000236,0,0,0,0,1,0,0,0,0,0,83,153,0,113,0,0,0,2,24,21,85,0,0
Otu000237,22,17,41,21,0,24,133,34,182,4,0,0,0,1,0,0,0,0,0,0,0,0,0
Otu000238,69,5,11,9,0,364,15,4,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Otu000239,0,1,0,0,0,0,4,0,0,0,0,0,0,24,6,149,293,0,0,0,0,3,0
Otu000240,148,11,34,41,0,159,53,18,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Otu000241,0,2,0,0,1,0,0,0,0,0,0,1,3,1,0,0,0,4,0,0,456,4,3
Otu000242,0,0,0,0,0,0,0,0,0,0,45,110,0,15,0,0,0,0,228,23,42,0,0
Otu000243,0,0,0,0,0,0,0,0,0,0,180,197,0,67,0,0,0,0,0,24,0,0,0
Otu000244,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,2,0,0
Otu000245,0,1,0,0,0,0,1,1,0,0,1,0,41,15,1,0,3,4,4,4,294,62,34
Otu000246,0,0,0,0,0,0,0,0,0,0,11,21,28,5,0,0,0,0,203,19,137,0,5
Otu000247,7,10,7,11,0,10,16,131,114,158,0,0,1,0,0,0,0,0,0,0,0,0,0
Otu000248,0,0,0,0,0,0,3,4,0,0,1,17,0,77,0,1,2,0,0,47,11,0,1
Otu000249,0,0,0,0,0,0,0,0,0,0,5,195,3,17,0,0,0,0,217,20,0,0,0
Otu000250,0,1,0,0,0,0,0,0,0,0,232,83,5,86,0,0,0,0,17,25,4,0,0
